inventory_id,store_id,film_id,title,rating,rental_rate,category,rental_count,total_revenue,last_rental_date
3437,2,753,Rush Goodfellas,PG,0.99,Family,5,13.96,2005-08-19 02:38:50
2,1,1,Academy Dinosaur,PG,0.99,Documentary,5,5.96,2005-08-23 01:01:01
6,2,1,Academy Dinosaur,PG,0.99,Documentary,5,7.96,2005-08-21 00:30:32
14,2,3,Adaptation Holes,NC-17,2.99,Documentary,5,13.96,2005-08-17 13:16:38
17,1,4,Affair Prejudice,G,2.99,Horror,5,13.96,2005-08-17 07:34:55
23,2,5,African Egg,G,2.99,Family,5,15.96,2005-08-19 05:00:16
26,1,6,Agent Truman,PG,2.99,Foreign,5,18.96,2005-08-18 23:14:15
30,2,6,Agent Truman,PG,2.99,Foreign,5,21.96,2005-08-18 11:31:34
37,2,8,Airport Pollock,R,4.99,Horror,5,23.96,2005-08-21 13:43:59
39,2,8,Airport Pollock,R,4.99,Horror,5,21.96,2005-08-18 14:53:58
40,2,8,Airport Pollock,R,4.99,Horror,5,24.96,2005-08-17 11:25:25
53,1,11,Alamo Videotape,G,0.99,Foreign,5,3.96,2005-08-19 22:05:40
58,2,11,Alamo Videotape,G,0.99,Foreign,5,5.96,2005-08-20 03:44:26
62,1,12,Alaska Phantom,PG,0.99,Music,5,3.96,2005-08-19 11:24:37
63,2,12,Alaska Phantom,PG,0.99,Music,5,6.96,2005-08-20 12:03:54
71,1,15,Alien Center,NC-17,2.99,Foreign,5,17.96,2005-08-23 05:13:09
72,1,15,Alien Center,NC-17,2.99,Foreign,5,19.96,2005-08-20 15:11:48
79,2,16,Alley Evolution,NC-17,2.99,Foreign,5,13.96,2005-08-17 16:28:24
85,2,17,Alone Trip,R,0.99,Music,5,6.96,2005-08-20 14:45:23
87,1,18,Alter Victory,PG-13,0.99,Animation,5,6.96,2005-08-20 20:12:19
88,1,18,Alter Victory,PG-13,0.99,Animation,5,6.96,2005-08-23 03:44:51
95,1,19,Amadeus Holy,PG,0.99,Action,5,3.96,2005-08-21 07:44:32
102,1,21,American Circus,R,4.99,Action,5,18.97,2005-08-22 04:44:10
103,1,21,American Circus,R,4.99,Action,5,34.96,2005-08-23 08:13:26
118,2,23,Anaconda Confessions,R,0.99,Animation,5,9.96,2005-08-17 18:13:07
119,2,23,Anaconda Confessions,R,0.99,Animation,5,11.96,2005-08-17 12:00:54
126,1,25,Angels Life,G,2.99,New,5,20.96,2005-08-23 13:46:00
129,2,25,Angels Life,G,2.99,New,5,22.96,2005-08-21 01:15:59
130,1,26,Annie Identity,G,0.99,Sci-Fi,5,7.96,2005-08-18 07:09:27
131,1,26,Annie Identity,G,0.99,Sci-Fi,5,12.96,2005-08-22 15:55:48
133,2,26,Annie Identity,G,0.99,Sci-Fi,5,7.96,2005-08-17 02:08:13
139,1,28,Anthem Luke,PG-13,4.99,Comedy,5,18.97,2005-08-21 05:42:20
140,1,28,Anthem Luke,PG-13,4.99,Comedy,5,20.96,2005-08-22 22:37:34
141,1,28,Anthem Luke,PG-13,4.99,Comedy,5,23.96,2005-08-22 08:42:45
